model,conversation_id,question_ref,answer_ref,question,answer,score,manual_label,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,0,Is a meeting proposed in the future?,Is there anything preventing you missing that step and going straight to LAMA LABA at the moment?,4.746231079,-2,7448,7545,. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? ,7446,7546
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,1,Is a meeting proposed in the future?,Is there anything preventing you missing that step and going straight to LAMA LABA at the moment,4.019689083,,7448,7544,. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? ,7446,7546
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,2,Is a meeting proposed in the future?,this meeting will be recorded for training and monitoring purposes,3.5600214,,718,784,gree with it. So this meeting will be recorded for training and monitoring purposes. You understand ,701,801
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,3,Is a meeting proposed in the future?,currently you're tending to use a LAMA. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment?,2.846130848,,7408,7545, currently you're tending to use a LAMA. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment?,7407,7545
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,4,Is a meeting proposed in the future?,"Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? """,2.747150183,,7448,7547," Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? """,7447,7547
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,0,Is a follow-up meeting proposed?,this meeting will be recorded for training and monitoring purposes,1.800364375,-2,718,784,gree with it. So this meeting will be recorded for training and monitoring purposes. You understand ,701,801
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,1,Is a follow-up meeting proposed?,it's quite a nice little algorithm to follow,0.852662325,,6576,6620, that quite straightforward it's quite a nice little algorithm to follow and obviously we've just ha,6548,6648
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,2,Is a follow-up meeting proposed?,recorded for training and monitoring purposes,0.148882985,,739,784,it. So this meeting will be recorded for training and monitoring purposes. You understand and accept,711,811
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,3,Is a follow-up meeting proposed?,"operator said ""Yeah yes. Definitely respect that. Definitely agree that if it even in my job as well. Definitely. There's been some there's a lot of occasions where virtual stuff works well. Yeah. And so going back to the management of the COPD patients which guidelines do you tend to currently follow. ""
customer said ""I quite like nice if I'm honest I find them I find that quite straightforward it's quite a nice little algorithm to follow",-0.414794743,,6177,6620,"
operator said ""Yeah yes. Definitely respect that. Definitely agree that if it even in my job as well. Definitely. There's been some there's a lot of occasions where virtual stuff works well. Yeah. And so going back to the management of the COPD patients which guidelines do you tend to currently follow. ""
customer said ""I quite like nice if I'm honest I find them I find that quite straightforward it's quite a nice little algorithm to follow",6176,6620
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,4,Is a follow-up meeting proposed?,meeting will be recorded for training and monitoring purposes,-0.450713098,,723,784,ee with it. So this meeting will be recorded for training and monitoring purposes. You understand an,703,803
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,0,Is a meeting proposed in the future?,no_answer,3.52048099,-2,0,0,,0,0
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,1,Is a meeting proposed in the future?,that's what we're going to talk about today,3.211553812,,2961,3004,"r said ""Yeah. Well hopefully that's what we're going to talk about today. You encourage me to make y",2932,3032
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,2,Is a meeting proposed in the future?,"operator said ""Yeah. Well hopefully that's what we're going to talk about today",3.06564188,,2925,3004,"eah yeah.""
operator said ""Yeah. Well hopefully that's what we're going to talk about today. You enco",2914,3014
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,3,Is a meeting proposed in the future?,we're going to talk about today,2.741276264,,2973,3004," ""Yeah. Well hopefully that's what we're going to talk about today. You encourage me to make you fee",2938,3038
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,4,Is a meeting proposed in the future?,today,2.608901739,,2999,3004,hopefully that's what we're going to talk about today. You encourage me to make you feel more confid,2951,3051
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,0,Is a follow-up meeting proposed?,NICE do say to consider a 3 month trial of triple therapy and step back down,2.059121847,-2,15768,15844,ity of life NICE do say to consider a 3 month trial of triple therapy and step back down. And obviou,15756,15856
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,1,Is a follow-up meeting proposed?,Follow up?,1.709810734,,2646,2656,"Have you got them booked in for a follow up. Follow up?""
customer said ""yeah in a couple of weeks ti",2601,2701
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,2,Is a follow-up meeting proposed?,if their having late stay symptoms and its having impacting that quality of life NICE do say to consider a 3 month trial of triple therapy and step back down,1.141816854,,15687,15844, if their having late stay symptoms and its having impacting that quality of life NICE do say to consider a 3 month trial of triple therapy and step back down,15686,15844
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,3,Is a follow-up meeting proposed?,"Follow up?""
customer said ""yeah in a couple of weeks time.""
operator said ""Wonderful. And so it might be if it's ok with you good for me to follow up with yourself again. It maybe a months time just to get patient a bit of feedback if that's OK.""
customer said ""Yeah yeah yeah.""
operator said ""Yeah. Well hopefully that's what we're going to talk about today",0.955390692,,2646,3004,"Follow up?""
customer said ""yeah in a couple of weeks time.""
operator said ""Wonderful. And so it might be if it's ok with you good for me to follow up with yourself again. It maybe a months time just to get patient a bit of feedback if that's OK.""
customer said ""Yeah yeah yeah.""
operator said ""Yeah. Well hopefully that's what we're going to talk about today",2646,3004
salti/bert-base-multilingual-cased-finetuned-squad,12046,1,4,Is a follow-up meeting proposed?,NICE do say to consider a 3 month trial of triple therapy and step back down.,0.758200109,,15768,15845,ity of life NICE do say to consider a 3 month trial of triple therapy and step back down. And obviou,15756,15856
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,0,Is a meeting proposed in the future?,The real world is we have no idea whether people take it out on their own,8.570436478,-2,1502,1575,e real world. The real world is we have no idea whether people take it out on their own but they pos,1488,1588
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,1,Is a meeting proposed in the future?,there's a protocol in the real world. The real world is we have no idea whether people take it out on their own,8.487705231,,1464,1575, there's a protocol in the real world. The real world is we have no idea whether people take it out on their own,1463,1575
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,2,Is a meeting proposed in the future?,I think there's a protocol in the real world. The real world is we have no idea whether people take it out on their own,7.800300121,,1456,1575, I think there's a protocol in the real world. The real world is we have no idea whether people take it out on their own,1455,1575
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,3,Is a meeting proposed in the future?,there's a protocol in the real world,7.639252663,,1464,1500,I think is the reality. I think there's a protocol in the real world. The real world is we have no i,1432,1532
salti/bert-base-multilingual-cased-finetuned-squad,12838,0,4,Is a meeting proposed in the future?,we have no idea whether people take it out on their own,7.5685606,,1520,1575,rld. The real world is we have no idea whether people take it out on their own but they possibly won,1497,1597
salti/bert-base-multilingual-cased-finetuned-squad,12838,1,0,Is a follow-up meeting proposed?,if possible it would be an idea to maybe get you back into the practice and the pharmacist because our generic approach to generics looks like it's not a good idea,4.836723328,-2,7207,7370, if possible it would be an idea to maybe get you back into the practice and the pharmacist because our generic approach to generics looks like it's not a good idea,7206,7370
