model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,0,Is a meeting proposed in the future?,Is there anything preventing you missing that step and going straight to LAMA LABA at the moment?,4.7462310791015625,7448,7545,. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? ,7446,7546
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,1,Is a meeting proposed in the future?,Is there anything preventing you missing that step and going straight to LAMA LABA at the moment,4.019689083099365,7448,7544,. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? ,7446,7546
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,2,Is a meeting proposed in the future?,this meeting will be recorded for training and monitoring purposes,3.56002140045166,718,784,gree with it. So this meeting will be recorded for training and monitoring purposes. You understand ,701,801
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,3,Is a meeting proposed in the future?,currently you're tending to use a LAMA. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment?,2.846130847930908,7408,7545, currently you're tending to use a LAMA. Is there anything preventing you missing that step and going straight to LAMA LABA at the moment?,7407,7545
salti/bert-base-multilingual-cased-finetuned-squad,10964,0,4,Is a meeting proposed in the future?,"Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? """,2.747150182723999,7448,7547," Is there anything preventing you missing that step and going straight to LAMA LABA at the moment? """,7447,7547
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,0,Is a follow-up meeting proposed?,this meeting will be recorded for training and monitoring purposes,1.800364375114441,718,784,gree with it. So this meeting will be recorded for training and monitoring purposes. You understand ,701,801
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,1,Is a follow-up meeting proposed?,it's quite a nice little algorithm to follow,0.8526623249053955,6576,6620, that quite straightforward it's quite a nice little algorithm to follow and obviously we've just ha,6548,6648
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,2,Is a follow-up meeting proposed?,recorded for training and monitoring purposes,0.14888298511505127,739,784,it. So this meeting will be recorded for training and monitoring purposes. You understand and accept,711,811
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,3,Is a follow-up meeting proposed?,"operator said ""Yeah yes. Definitely respect that. Definitely agree that if it even in my job as well. Definitely. There's been some there's a lot of occasions where virtual stuff works well. Yeah. And so going back to the management of the COPD patients which guidelines do you tend to currently follow. ""
customer said ""I quite like nice if I'm honest I find them I find that quite straightforward it's quite a nice little algorithm to follow",-0.4147947430610657,6177,6620,"
operator said ""Yeah yes. Definitely respect that. Definitely agree that if it even in my job as well. Definitely. There's been some there's a lot of occasions where virtual stuff works well. Yeah. And so going back to the management of the COPD patients which guidelines do you tend to currently follow. ""
customer said ""I quite like nice if I'm honest I find them I find that quite straightforward it's quite a nice little algorithm to follow",6176,6620
salti/bert-base-multilingual-cased-finetuned-squad,10964,1,4,Is a follow-up meeting proposed?,meeting will be recorded for training and monitoring purposes,-0.4507130980491638,723,784,ee with it. So this meeting will be recorded for training and monitoring purposes. You understand an,703,803
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,0,Is a meeting proposed in the future?,no_answer,3.520480990409851,0,0,,0,0
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,1,Is a meeting proposed in the future?,that's what we're going to talk about today,3.2115538120269775,2961,3004,"r said ""Yeah. Well hopefully that's what we're going to talk about today. You encourage me to make y",2932,3032
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,2,Is a meeting proposed in the future?,"operator said ""Yeah. Well hopefully that's what we're going to talk about today",3.0656418800354004,2925,3004,"eah yeah.""
operator said ""Yeah. Well hopefully that's what we're going to talk about today. You enco",2914,3014
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,3,Is a meeting proposed in the future?,we're going to talk about today,2.741276264190674,2973,3004," ""Yeah. Well hopefully that's what we're going to talk about today. You encourage me to make you fee",2938,3038
salti/bert-base-multilingual-cased-finetuned-squad,12046,0,4,Is a meeting proposed in the future?,today,2.6089017391204834,2999,3004,hopefully that's what we're going to talk about today. You encourage me to make you feel more confid,2951,3051
