conversation_id,question,answer,label,prediction
10964,Is a meeting proposed in the future?,Is there anything preventing you missing that step and going straight to LAMA LABA at the moment?,0,1
12046,Is a follow-up meeting proposed?,NICE do say to consider a 3 month trial of triple therapy and step back down,0,1
12838,Is a follow-up meeting proposed?,if possible it would be an idea to maybe get you back into the practice and the pharmacist because our generic approach to generics looks like it's not a good idea,0,1
13136,Is a meeting proposed in the future?,we'll set up kind of like a stakeholder meeting like I did in Birmingham,0,1
13828,Is a follow-up meeting proposed?,we'll do another virtual consultation,0,1
13960,Is a meeting proposed in the future?,I've arranged to meet to do this meeting,0,1
16699,Is a follow-up meeting proposed?,unequal observation follow up period,0,1
16997,Is a meeting proposed in the future?,that's a future project of mine,0,1
17030,Is a meeting proposed in the future?,in the future they'll be an extension to sort of see what that looks like longer than 52 years.,0,1
17194,Is a follow-up meeting proposed?,We're hoping to get another rheumatologist in. And yeah that's the plan. Obviously you know that Joanne left. She went to another hospital. So we're hoping to get her replaced so that hopefully that's coming soon,0,1
17227,Is a follow-up meeting proposed?,Is it still monthly,0,1
17326,Is a meeting proposed in the future?,I don't want to go into discussion,0,1
18254,Is a follow-up meeting proposed?,It may be a day or two,0,1
18255,Is a meeting proposed in the future?,no_answer,1,1
18256,Is a follow-up meeting proposed?,it's a project fit for purpose,0,1
18257,Is a meeting proposed in the future?,no_answer,0,1
18258,Is a follow-up meeting proposed?,Some of the modules are very short,0,1
