model,conversation_id,question_ref,answer_ref,question,answer,score,manual_label,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,10964,0,0,Is a meeting proposed in the future?,if we catch up in about six weeks time,5.358246803,2,16802,16840, and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time t,16771,16871
deepset/xlm-roberta-large-squad2,10964,0,1,Is a meeting proposed in the future?,maybe if we catch up in about six weeks time,3.721631527,,16796,16840,ial and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of tim,16768,16868
deepset/xlm-roberta-large-squad2,10964,0,2,Is a meeting proposed in the future?,we catch up in about six weeks time,3.154574871,,16805,16840,and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to,16772,16872
deepset/xlm-roberta-large-squad2,10964,0,3,Is a meeting proposed in the future?,"if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues """,2.480381012,,16802,17070, if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ,16802,17070
deepset/xlm-roberta-large-squad2,10964,0,4,Is a meeting proposed in the future?,if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them,2.476852179,,16802,16919,e if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing the,16801,16919
deepset/xlm-roberta-large-squad2,10964,1,0,Is a follow-up meeting proposed?,if we catch up in about six weeks time,5.875426292,2,16802,16840, and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time t,16771,16871
deepset/xlm-roberta-large-squad2,10964,1,1,Is a follow-up meeting proposed?,we catch up in about six weeks time,3.834233284,,16805,16840,and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to,16772,16872
deepset/xlm-roberta-large-squad2,10964,1,2,Is a follow-up meeting proposed?,maybe if we catch up in about six weeks time,3.706940651,,16796,16840,ial and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of tim,16768,16868
deepset/xlm-roberta-large-squad2,10964,1,3,Is a follow-up meeting proposed?,It might be that we we invite you back again Alex to do a group session,3.459639788,,16526,16597,e this forward. It might be that we we invite you back again Alex to do a group session and also to ,16511,16611
deepset/xlm-roberta-large-squad2,10964,1,4,Is a follow-up meeting proposed?,It might be that we we invite you back again Alex to do a group session and also to catch up with my nurse,3.181726217,,16526,16632, It might be that we we invite you back again Alex to do a group session and also to catch up with my nurs,16526,16632
deepset/xlm-roberta-large-squad2,12046,0,0,Is a meeting proposed in the future?,"in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.837042272,2,26436,26628," in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26436,26628
deepset/xlm-roberta-large-squad2,12046,0,1,Is a meeting proposed in the future?,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.830858171,,26399,26628,"n it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26398,26628
deepset/xlm-roberta-large-squad2,12046,0,2,Is a meeting proposed in the future?,Is it possible to book in a date and time or is it best for me to try you on a Thursday,0.776012063,,26542,26629," said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday?""
cus",26535,26635
deepset/xlm-roberta-large-squad2,12046,0,3,Is a meeting proposed in the future?,no_answer,0.621652246,,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,0,4,Is a meeting proposed in the future?,"to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.30512625,,26407,26628,"K to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26406,26628
deepset/xlm-roberta-large-squad2,12046,1,0,Is a follow-up meeting proposed?,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""",3.100916624,2,26399,26483,"and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custom",26391,26491
deepset/xlm-roberta-large-squad2,12046,1,1,Is a follow-up meeting proposed?,"Have you got them booked in for a follow up. Follow up?""
customer said ""yeah in a couple of weeks time.""",3.049670219,,2600,2704," Have you got them booked in for a follow up. Follow up?""
customer said ""yeah in a couple of weeks time.",2600,2704
deepset/xlm-roberta-large-squad2,12046,1,2,Is a follow-up meeting proposed?,it's OK to touch base with you again in maybe four weeks time to get that feedback,2.577255249,,26399,26481," and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custo",26390,26490
deepset/xlm-roberta-large-squad2,12046,1,3,Is a follow-up meeting proposed?,"Have you got them booked in for a follow up. Follow up?""",2.565070152,,2600,2656,"r said ""Oh great news. Have you got them booked in for a follow up. Follow up?""
customer said ""yeah ",2578,2678
deepset/xlm-roberta-large-squad2,12046,1,4,Is a follow-up meeting proposed?,it's OK to touch base with you again in maybe four weeks time,2.276779175,,26399,26460,noon to you and then it's OK to touch base with you again in maybe four weeks time to get that feedb,26379,26479
deepset/xlm-roberta-large-squad2,12838,0,0,Is a meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist,4.465264797,2,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
deepset/xlm-roberta-large-squad2,12838,0,1,Is a meeting proposed in the future?,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",3.785348892,,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250
deepset/xlm-roberta-large-squad2,12838,0,2,Is a meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,3.422253847,,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248
deepset/xlm-roberta-large-squad2,12838,0,3,Is a meeting proposed in the future?,we can arrange meeting,2.908802986,,13146,13168,the next step then is it something that we can arrange meeting for the practice clinical pharmacist ,13107,13207
deepset/xlm-roberta-large-squad2,12838,0,4,Is a meeting proposed in the future?,we can arrange meeting for the practice,2.418868065,,13146,13185, step then is it something that we can arrange meeting for the practice clinical pharmacist to get m,13115,13215
deepset/xlm-roberta-large-squad2,12838,1,0,Is a follow-up meeting proposed?,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",4.214421749,2,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250
deepset/xlm-roberta-large-squad2,12838,1,1,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist,3.968537331,,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
deepset/xlm-roberta-large-squad2,12838,1,2,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,3.879736662,,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248
deepset/xlm-roberta-large-squad2,12838,1,3,Is a follow-up meeting proposed?,"is it something that we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",3.094889402,,13125,13250,n is it something that we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13124,13250
deepset/xlm-roberta-large-squad2,12838,1,4,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist to get me to present,3.076675415,,13146,13226,thing that we can arrange meeting for the practice clinical pharmacist to get me to present and and ,13136,13236
deepset/xlm-roberta-large-squad2,13136,0,0,Is a meeting proposed in the future?,we'll set up kind of like a stakeholder meeting,6.635519028,-2,23614,23661,ll find out who is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham,23587,23687
deepset/xlm-roberta-large-squad2,13136,0,1,Is a meeting proposed in the future?,I'll meet them on Monday next week for a remote meeting,5.369122505,,11750,11805,and CC you in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that ,11727,11827
deepset/xlm-roberta-large-squad2,13136,0,2,Is a meeting proposed in the future?,"I'll set up a meeting.""",4.855374336,1,39741,39764,"yway introducing you to Nicole and then I'll set up a meeting.""
customer said ""if she you know if sh",39702,39802
deepset/xlm-roberta-large-squad2,13136,0,3,Is a meeting proposed in the future?,I'll set up a meeting,4.63138628,,39741,39762,"nyway introducing you to Nicole and then I'll set up a meeting.""
customer said ""if she you know if s",39701,39801
deepset/xlm-roberta-large-squad2,13136,0,4,Is a meeting proposed in the future?,Monday next week for a remote meeting,4.034545898,,11768,11805,u in. So A I'm I'll meet them on Monday next week for a remote meeting. OK so I'll do that and kind ,11736,11836
deepset/xlm-roberta-large-squad2,13136,1,0,Is a follow-up meeting proposed?,we'll set up kind of like a stakeholder meeting,5.699972153,-2,23614,23661,ll find out who is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham,23587,23687
deepset/xlm-roberta-large-squad2,13136,1,1,Is a follow-up meeting proposed?,"I'll set up a meeting.""",5.05631876,1,39741,39764,"yway introducing you to Nicole and then I'll set up a meeting.""
customer said ""if she you know if sh",39702,39802
deepset/xlm-roberta-large-squad2,13136,1,2,Is a follow-up meeting proposed?,"following on that so I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.""",4.934200287,,39608,39764, following on that so I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.,39608,39764
deepset/xlm-roberta-large-squad2,13136,1,3,Is a follow-up meeting proposed?,"I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.""",4.870373726,,39629,39764,o I'm meeting them on Monday so I'll speak you'll have an email from me anyway introducing you to Nicole and then I'll set up a meeting.,39628,39764
deepset/xlm-roberta-large-squad2,13136,1,4,Is a follow-up meeting proposed?,we'll set up kind of like a stakeholder meeting like I did in Birmingham,4.7290802,,23614,23686,ho is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham. So where it,23600,23700
deepset/xlm-roberta-large-squad2,13828,0,0,Is a meeting proposed in the future?,no_answer,3.429176569,-2,0,0,,0,0
deepset/xlm-roberta-large-squad2,13828,0,1,Is a meeting proposed in the future?,we will look at calcium and vitamin D medication prescribed medications first,0.124059319,,5505,5582,So certainly we will look at calcium and vitamin D medication prescribed medications first and then.,5493,5593
deepset/xlm-roberta-large-squad2,13828,0,2,Is a meeting proposed in the future?,I can think of more than a handful,-0.401582122,,2452,2486,"?""
customer said ""Yes absolutely. I can think of more than a handful to be honest I would say more s",2419,2519
deepset/xlm-roberta-large-squad2,13828,0,3,Is a meeting proposed in the future?,more than a handful,-0.969573319,,2467,2486,"omer said ""Yes absolutely. I can think of more than a handful to be honest I would say more so now w",2426,2526
deepset/xlm-roberta-large-squad2,13828,0,4,Is a meeting proposed in the future?,we will look at calcium and vitamin D medication,-1.332069755,,5505,5553,ents as well. So certainly we will look at calcium and vitamin D medication prescribed medications f,5479,5579
deepset/xlm-roberta-large-squad2,13828,1,0,Is a follow-up meeting proposed?,we will look at calcium and vitamin D medication,4.071565151,-2,5505,5553,ents as well. So certainly we will look at calcium and vitamin D medication prescribed medications f,5479,5579
deepset/xlm-roberta-large-squad2,13828,1,1,Is a follow-up meeting proposed?,"we will look at calcium and vitamin D medication prescribed medications first and then.""",3.875468969,,5505,5593,"tainly we will look at calcium and vitamin D medication prescribed medications first and then.""
oper",5499,5599
deepset/xlm-roberta-large-squad2,13828,1,2,Is a follow-up meeting proposed?,we will look at calcium and vitamin D medication prescribed medications first,2.817722797,,5505,5582,So certainly we will look at calcium and vitamin D medication prescribed medications first and then.,5493,5593
deepset/xlm-roberta-large-squad2,13828,1,3,Is a follow-up meeting proposed?,we will look at calcium and vitamin D medication prescribed medications first and then,2.249919415,,5505,5591,"rtainly we will look at calcium and vitamin D medication prescribed medications first and then.""
ope",5498,5598
deepset/xlm-roberta-large-squad2,13828,1,4,Is a follow-up meeting proposed?,no_answer,1.95435214,,0,0,,0,0
deepset/xlm-roberta-large-squad2,13960,0,0,Is a meeting proposed in the future?,i've said to meet the following week,6.936964512,-2,15711,15747,"I think is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is",15679,15779
deepset/xlm-roberta-large-squad2,13960,0,1,Is a meeting proposed in the future?,they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following week,6.52801466,,15608,15747,o they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following wee,15607,15747
deepset/xlm-roberta-large-squad2,13960,0,2,Is a meeting proposed in the future?,i've said to meet the following week.,5.669178486,,15711,15748,"I think is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is",15679,15779
deepset/xlm-roberta-large-squad2,13960,0,3,Is a meeting proposed in the future?,they've agreed to meet,5.472771645,,15608,15630,g to give themnice little emails and so they've agreed to meet the guy directorate manager is on Hol,15569,15669
deepset/xlm-roberta-large-squad2,13960,0,4,Is a meeting proposed in the future?,to meet the following week,5.467201233,,15721,15747,"nk is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is that",15684,15784
deepset/xlm-roberta-large-squad2,13960,1,0,Is a follow-up meeting proposed?,i've said to meet the following week,6.200843811,-2,15711,15747,"I think is Back from the 16th so i've said to meet the following week. ""
operator said ""It's that is",15679,15779
deepset/xlm-roberta-large-squad2,13960,1,1,Is a follow-up meeting proposed?,they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following week,5.947977066,,15608,15747,o they've agreed to meet the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following wee,15607,15747
deepset/xlm-roberta-large-squad2,13960,1,2,Is a follow-up meeting proposed?,I've arranged to meet to do this meeting and we'll see what comes after that,5.098861694,,17945,18021,"nute anyway. I've arranged to meet to do this meeting and we'll see what comes after that. ""
operato",17933,18033
deepset/xlm-roberta-large-squad2,13960,1,3,Is a follow-up meeting proposed?,the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following week,5.044964314,,15631,15747, the guy directorate manager is on Holiday back I think is Back from the 16th so i've said to meet the following wee,15631,15747
deepset/xlm-roberta-large-squad2,13960,1,4,Is a follow-up meeting proposed?,they've agreed to meet the guy directorate manager is on Holiday back,4.805533409,,15608,15677,le emails and so they've agreed to meet the guy directorate manager is on Holiday back I think is Ba,15592,15692
deepset/xlm-roberta-large-squad2,16699,0,0,Is a meeting proposed in the future?,We can reschedule in a few more weeks,6.275606155,-2,16695,16732,ever we don't cover we can talk. We can reschedule in a few more weeks or you can send me some infor,16663,16763
