model,conversation_id,question_ref,answer_ref,question,answer,score,manual_label,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,10964,0,0,When did the operator propose to speak again to customer?,in six weeks,8.362342834,-2,17735,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,0,1,When did the operator propose to speak again to customer?,six weeks,6.272488594,,17738,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,0,2,When did the operator propose to speak again to customer?,"six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",4.701833248,,17232,17747,"t six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",17231,17747
deepset/xlm-roberta-large-squad2,10964,0,3,When did the operator propose to speak again to customer?,"in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",4.692161083,,16817,17747," in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16817,17747
deepset/xlm-roberta-large-squad2,10964,0,4,When did the operator propose to speak again to customer?,in six weeks.,4.461681366,,17735,17748,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,1,0,When did the operator propose to call back again?,in six weeks,9.225901604,-2,17735,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,1,1,When did the operator propose to call back again?,six weeks,6.826128006,,17738,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,1,2,When did the operator propose to call back again?,"in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",5.823074341,,16817,17747," in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16817,17747
deepset/xlm-roberta-large-squad2,10964,1,3,When did the operator propose to call back again?,in six weeks.,5.15060091,,17735,17748,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
deepset/xlm-roberta-large-squad2,10964,1,4,When did the operator propose to call back again?,"six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",4.802350521,,16826,17747,"t six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16825,17747
