model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,10964,0,0,What date is set for the next meeting?,no_answer,6.748431205749512,0,0,,0,0
deepset/xlm-roberta-large-squad2,10964,0,1,What date is set for the next meeting?,Asaba,-2.8723385334014893,7376,7381,in these now so recommending going straight from Asaba to LAMA LABA. And I know currently you're ten,7328,7428
deepset/xlm-roberta-large-squad2,10964,0,2,What date is set for the next meeting?,six weeks,-3.7175116539001465,17232,17241,"this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I",17186,17286
deepset/xlm-roberta-large-squad2,10964,0,3,What date is set for the next meeting?,"six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",-4.236259937286377,16826,17747,"t six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16825,17747
deepset/xlm-roberta-large-squad2,10964,0,4,What date is set for the next meeting?,"LAMA LABA. Yeah. That's I'm just going to pull up some data now and let me know if you can see. And my screen. ""
customer said ""Something's happening. OK. ""
operator said ""Can you see any anything at the moment? ""
customer said ""I can see inhalability ""
operator said ""Oh that's brilliant. OK and just while we're discussing this I just thought I'd pull them up as a reminder. And because as you can see I'm sureyou're aware that the local guidelines and there are in these now so recommending going straight from Asaba",-4.355121612548828,6863,7382," LAMA LABA. Yeah. That's I'm just going to pull up some data now and let me know if you can see. And my screen. ""
customer said ""Something's happening. OK. ""
operator said ""Can you see any anything at the moment? ""
customer said ""I can see inhalability ""
operator said ""Oh that's brilliant. OK and just while we're discussing this I just thought I'd pull them up as a reminder. And because as you can see I'm sureyou're aware that the local guidelines and there are in these now so recommending going straight from Asaba",6862,7382
deepset/xlm-roberta-large-squad2,10964,1,0,What date is proposed for the next meeting?,no_answer,5.3458428382873535,0,0,,0,0
deepset/xlm-roberta-large-squad2,10964,1,1,What date is proposed for the next meeting?,Asaba,-1.225132942199707,7376,7381,in these now so recommending going straight from Asaba to LAMA LABA. And I know currently you're ten,7328,7428
deepset/xlm-roberta-large-squad2,10964,1,2,What date is proposed for the next meeting?,six weeks,-3.3396353721618652,17232,17241,"this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I",17186,17286
deepset/xlm-roberta-large-squad2,10964,1,3,What date is proposed for the next meeting?,"six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six weeks",-3.356825351715088,16826,17747,"t six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email with a few dates in about ""
customer said ""well this day in time suits me really well. So just six weeks from now I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an email can send you as well as do telephone consultations with the clinicians have found it really useful because it is like a downloadable checklist for patients to the respimat. So just sort of a checklist of questions to ask. ""
customer said ""And so it was very helpful. ""
operator said ""And hey that is great. That's great. Yeah brilliant. Thank you very much. And I'll speak to you in six week",16825,17747
deepset/xlm-roberta-large-squad2,10964,1,4,What date is proposed for the next meeting?,six weeks,-3.653139591217041,17738,17747,"rilliant. Thank you very much. And I'll speak to you in six weeks. I looking forward to it here by.""",17683,17783
