model,conversation_id,question_ref,answer_ref,question,answer,score,manual_label,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,10964,0,0,Is a follow-up meeting proposed in the future?,if we catch up in about six weeks time,3.913097858,2,16802,16840, and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time t,16771,16871
deepset/xlm-roberta-large-squad2,10964,0,1,Is a follow-up meeting proposed in the future?,maybe if we catch up in about six weeks time,2.327903032,,16796,16840,ial and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of tim,16768,16868
deepset/xlm-roberta-large-squad2,10964,0,2,Is a follow-up meeting proposed in the future?,It might be that we we invite you back again Alex to do a group session,2.253851652,,16526,16597,e this forward. It might be that we we invite you back again Alex to do a group session and also to ,16511,16611
deepset/xlm-roberta-large-squad2,10964,0,3,Is a follow-up meeting proposed in the future?,we catch up in about six weeks time,2.096369267,,16805,16840,and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to,16772,16872
deepset/xlm-roberta-large-squad2,10964,0,4,Is a follow-up meeting proposed in the future?,It might be that we we invite you back again Alex to do a group session and also to catch up with my nurse,2.025571108,,16526,16632, It might be that we we invite you back again Alex to do a group session and also to catch up with my nurs,16526,16632
deepset/xlm-roberta-large-squad2,12046,0,0,Is a follow-up meeting proposed in the future?,"in a couple of weeks time.""",3.190931797,-2,2677,2704,"w up. Follow up?""
customer said ""yeah in a couple of weeks time.""
operator said ""Wonderful. And so i",2640,2740
deepset/xlm-roberta-large-squad2,12046,0,1,Is a follow-up meeting proposed in the future?,it's OK to touch base with you again in maybe four weeks time,2.948731899,1,26399,26460,noon to you and then it's OK to touch base with you again in maybe four weeks time to get that feedb,26379,26479
deepset/xlm-roberta-large-squad2,12046,0,2,Is a follow-up meeting proposed in the future?,in a couple of weeks time,2.602119684,,2677,2702,"ow up. Follow up?""
customer said ""yeah in a couple of weeks time.""
operator said ""Wonderful. And so ",2639,2739
deepset/xlm-roberta-large-squad2,12046,0,3,Is a follow-up meeting proposed in the future?,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""",2.594421625,,26399,26483,"and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custom",26391,26491
deepset/xlm-roberta-large-squad2,12046,0,4,Is a follow-up meeting proposed in the future?,it's OK to touch base with you again in maybe four weeks time to get that feedback,2.414984941,,26399,26481," and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custo",26390,26490
deepset/xlm-roberta-large-squad2,12838,0,0,Is a follow-up meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,0.614015579,2,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248
deepset/xlm-roberta-large-squad2,12838,0,1,Is a follow-up meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist,0.326013684,,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
deepset/xlm-roberta-large-squad2,12838,0,2,Is a follow-up meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist to get me to present,0.079659224,,13146,13226,thing that we can arrange meeting for the practice clinical pharmacist to get me to present and and ,13136,13236
deepset/xlm-roberta-large-squad2,12838,0,3,Is a follow-up meeting proposed in the future?,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",-0.022888303,,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250
