model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,10964,0,0,Do they propose a meeting in the future,It might be that we we invite you back again Alex to do a group session,1.9745455980300903,16526,16597,e this forward. It might be that we we invite you back again Alex to do a group session and also to ,16511,16611
deepset/xlm-roberta-large-squad2,10964,0,1,Do they propose a meeting in the future,no_answer,1.8946843147277832,0,0,,0,0
deepset/xlm-roberta-large-squad2,10964,0,2,Do they propose a meeting in the future,It might be that we we invite you back again Alex to do a group session and also to catch up with my nurse,1.3576956987380981,16526,16632, It might be that we we invite you back again Alex to do a group session and also to catch up with my nurs,16526,16632
deepset/xlm-roberta-large-squad2,10964,0,3,Do they propose a meeting in the future,we we invite you back again Alex to do a group session,0.5052211284637451,16543,16597,rward. It might be that we we invite you back again Alex to do a group session and also to catch up ,16520,16620
deepset/xlm-roberta-large-squad2,10964,0,4,Do they propose a meeting in the future,It might be that we we invite you back again Alex to do a group session and also to catch up with my nurse.,0.13430571556091309,16526,16633,. It might be that we we invite you back again Alex to do a group session and also to catch up with my nurse,16525,16633
deepset/xlm-roberta-large-squad2,12046,0,0,Do they propose a meeting in the future,no_answer,3.284231424331665,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,0,1,Do they propose a meeting in the future,it makes it easy for you to change medications if you actually see patients face to face,-0.9732409715652466,23571,23659," guess it makes it easy for you to change medications if you actually see patients face to face.""
cu",23565,23665
deepset/xlm-roberta-large-squad2,12046,0,2,Do they propose a meeting in the future,two of your classic COPD patients,-1.2521380186080933,2132,2165,"led it on?""
customer said ""two yet two of your classic COPD patients frequent exacerbated the sympto",2098,2198
deepset/xlm-roberta-large-squad2,12046,0,3,Do they propose a meeting in the future,Trixeo,-1.4024715423583984,2007,2013,"o or Bevespi that you've used?""
customer said ""Trixeo.""
operator said ""Perfect And what sort of pati",1960,2060
deepset/xlm-roberta-large-squad2,12046,0,4,Do they propose a meeting in the future,"it makes it easy for you to change medications if you actually see patients face to face.""",-2.4461138248443604,23571,23661,"guess it makes it easy for you to change medications if you actually see patients face to face.""
cus",23566,23666
deepset/xlm-roberta-large-squad2,12838,0,0,Do they propose a meeting in the future,no_answer,1.4598835706710815,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,0,1,Do they propose a meeting in the future,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,-0.4667593240737915,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248
deepset/xlm-roberta-large-squad2,12838,0,2,Do they propose a meeting in the future,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",-0.9778475761413574,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250
deepset/xlm-roberta-large-squad2,12838,0,3,Do they propose a meeting in the future,we can arrange meeting for the practice clinical pharmacist,-1.5616846084594727,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
deepset/xlm-roberta-large-squad2,12838,0,4,Do they propose a meeting in the future,if possible it would be an idea to maybe get you back into the practice and the pharmacist,-1.5782222747802734,7206,7296,f way if possible it would be an idea to maybe get you back into the practice and the pharmacist bec,7201,7301
deepset/xlm-roberta-large-squad2,13136,0,0,Do they propose a meeting in the future,no_answer,2.247541666030884,0,0,,0,0
deepset/xlm-roberta-large-squad2,13136,0,1,Do they propose a meeting in the future,we'll set up kind of like a stakeholder meeting like I did in Birmingham,1.756082534790039,23614,23686,ho is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham. So where it,23600,23700
deepset/xlm-roberta-large-squad2,13136,0,2,Do they propose a meeting in the future,we'll set up kind of like a stakeholder meeting,1.477196216583252,23614,23661,ll find out who is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham,23587,23687
deepset/xlm-roberta-large-squad2,13136,0,3,Do they propose a meeting in the future,will we'll set up kind of like a stakeholder meeting like I did in Birmingham,1.4075901508331299,23609,23686,t who is and will we'll set up kind of like a stakeholder meeting like I did in Birmingham. So where,23597,23697
deepset/xlm-roberta-large-squad2,13136,0,4,Do they propose a meeting in the future,Tanya's just changed the time of my Monday meeting,1.3845802545547485,12521,12571,n't know what I know that Tanya's just changed the time of my Monday meeting. She's desperately tryi,12496,12596
deepset/xlm-roberta-large-squad2,13828,0,0,Do they propose a meeting in the future,no_answer,4.078359603881836,0,0,,0,0
deepset/xlm-roberta-large-squad2,13828,0,1,Do they propose a meeting in the future,we'll do another virtual consultation,0.11750221252441406,8897,8934,ients that need to come back and we'll do another virtual consultation. And I can talk about that op,8865,8965
deepset/xlm-roberta-large-squad2,13828,0,2,Do they propose a meeting in the future,the patients that need to come back and we'll do another virtual consultation,-1.4867966175079346,8857,8934,ly useful as the patients that need to come back and we'll do another virtual consultation. And I ca,8845,8945
