,model,conversation_id,question_ref,answer_ref,question,answer,score,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end,normalised_score,score_difference,weighted_score
0,deepset/xlm-roberta-large-squad2,10964,0,0,Is a meeting proposed in the future?,if we catch up in about six weeks time,5.358246803,16802,16840, and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time t,16771,16871,0.76791234015,0.09599547622999993,0.7006528373561004
1,deepset/xlm-roberta-large-squad2,10964,0,1,Is a meeting proposed in the future?,maybe if we catch up in about six weeks time,3.721631527,16796,16840,ial and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of tim,16768,16868,0.68608157635,0.0,0.0
2,deepset/xlm-roberta-large-squad2,10964,0,2,Is a meeting proposed in the future?,we catch up in about six weeks time,3.154574871,16805,16840,and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to,16772,16872,0.65772874355,0.0,0.0
3,deepset/xlm-roberta-large-squad2,10964,0,3,Is a meeting proposed in the future?,"if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues """,2.480381012,16802,17070, if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ,16802,17070,0.6240190506000001,0.0,0.0
4,deepset/xlm-roberta-large-squad2,10964,0,4,Is a meeting proposed in the future?,if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them,2.476852179,16802,16919,e if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing the,16801,16919,0.62384260895,0.0,0.0
5,deepset/xlm-roberta-large-squad2,10964,1,0,Is a follow-up meeting proposed?,if we catch up in about six weeks time,5.875426292,16802,16840, and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time t,16771,16871,0.7937713146,0.09319165228000004,0.7261044419288072
6,deepset/xlm-roberta-large-squad2,10964,1,1,Is a follow-up meeting proposed?,we catch up in about six weeks time,3.834233284,16805,16840,and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to,16772,16872,0.6917116642,0.0,0.0
7,deepset/xlm-roberta-large-squad2,10964,1,2,Is a follow-up meeting proposed?,maybe if we catch up in about six weeks time,3.706940651,16796,16840,ial and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of tim,16768,16868,0.68534703255,0.0,0.0
8,deepset/xlm-roberta-large-squad2,10964,1,3,Is a follow-up meeting proposed?,It might be that we we invite you back again Alex to do a group session,3.459639788,16526,16597,e this forward. It might be that we we invite you back again Alex to do a group session and also to ,16511,16611,0.6729819894,0.0,0.0
9,deepset/xlm-roberta-large-squad2,10964,1,4,Is a follow-up meeting proposed?,It might be that we we invite you back again Alex to do a group session and also to catch up with my nurse,3.181726217,16526,16632, It might be that we we invite you back again Alex to do a group session and also to catch up with my nurs,16526,16632,0.65908631085,0.0,0.0
10,deepset/xlm-roberta-large-squad2,12046,0,0,Is a meeting proposed in the future?,"in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.837042272,26436,26628," in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26436,26628,0.5418521136,0.008145203579999927,0.5374742762013272
